Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
,,20,2,4,1,6,ENGINEERING,Returning Students [P]
CS1020,SECTIONAL TEACHING 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
,,35,14,1,1,500,SCIENCE,Returning Students [P]
,,10,14,23,200,599,SCHOOL OF COMPUTING,Returning Students [P]
CS1020E,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
,,6,1,1,1,1,SCIENCE,Returning Students [P]
,,60,0,0,0,0,ENGINEERING,Returning Students [P]
,,10,6,1,1,500,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
CS1231,SECTIONAL TEACHING 1,3,0,0,0,0,SCIENCE,Returning Students [P]
,,15,0,0,0,0,ENGINEERING,Returning Students [P]
,,12,3,1,1,500,SCHOOL OF COMPUTING,Returning Students [P]
,,2,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
CS1231,SECTIONAL TEACHING 2,2,0,0,0,0,SCIENCE,Returning Students [P]
,,15,0,0,0,0,ENGINEERING,Returning Students [P]
,,15,1,100,1,100,SCHOOL OF COMPUTING,Returning Students [P]
,,3,1,1,1,1,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
CS1280,LECTURE 1,30,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
CS1281,LECTURE 1,40,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
CS2010,LECTURE 1,30,10,1,1,1450,SCHOOL OF COMPUTING,Returning Students [P]
,,3,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
CS2100,LECTURE 1,15,33,11,1124,2000,SCHOOL OF COMPUTING,Returning Students [P]
CS2101,SECTIONAL TEACHING 1,3,6,10,300,600,SCHOOL OF COMPUTING,Returning Students [P]
CS2101,SECTIONAL TEACHING 2,13,23,350,1005,1954,SCHOOL OF COMPUTING,Returning Students [P]
CS2101,SECTIONAL TEACHING 3,6,9,300,1052,1700,SCHOOL OF COMPUTING,Returning Students [P]
CS2102,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
,,12,1,100,1,100,SCIENCE,Returning Students [P]
,,40,8,1,1,800,ENGINEERING,Returning Students [P]
,,10,25,1,1000,1900,SCHOOL OF COMPUTING,Returning Students [P]
,,35,27,1,1,1500,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
CS2103,LECTURE 1,40,13,1,1,1800,ENGINEERING,Returning Students [P]
,,9,13,10,510,1504,SCHOOL OF COMPUTING,Returning Students [P]
,,10,3,1,1,1002,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
CS2104,LECTURE 1,35,19,1,1,1000,SCHOOL OF COMPUTING,Returning Students [P]
